get_params.prdctvId,get_params.url,timestamp,referer,ip,accept_language,user_agent
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=8&size_range=40,2015-10-25T20:41:23.665Z,https://www.vivelafete.com/boys.html?p=8&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=9&size_range=40,2015-10-25T20:41:34.391Z,https://www.vivelafete.com/boys.html?p=9&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=10&size_range=40,2015-10-25T20:41:46.526Z,https://www.vivelafete.com/boys.html?p=10&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=11&size_range=40,2015-10-25T20:41:53.240Z,https://www.vivelafete.com/boys.html?p=11&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=12&size_range=40,2015-10-25T20:42:01.321Z,https://www.vivelafete.com/boys.html?p=12&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=13&size_range=40,2015-10-25T20:42:08.625Z,https://www.vivelafete.com/boys.html?p=13&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=14&size_range=40,2015-10-25T20:42:25.618Z,https://www.vivelafete.com/boys.html?p=14&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=15&size_range=40,2015-10-25T20:42:33.789Z,https://www.vivelafete.com/boys.html?p=15&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=16&size_range=40,2015-10-25T20:42:46.950Z,https://www.vivelafete.com/boys.html?p=16&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=17&size_range=40,2015-10-25T20:43:00.367Z,https://www.vivelafete.com/boys.html?p=17&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=18&size_range=40,2015-10-25T20:43:12.811Z,https://www.vivelafete.com/boys.html?p=18&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?p=19&size_range=40,2015-10-25T20:43:21.433Z,https://www.vivelafete.com/boys.html?p=19&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?apparel_collection=168&size_range=40,2015-10-25T20:43:33.001Z,https://www.vivelafete.com/boys.html?apparel_collection=168&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys/santas-gift-smocked-boys-pant-set.html,2015-10-25T20:43:46.104Z,https://www.vivelafete.com/boys/santas-gift-smocked-boys-pant-set.html,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
